Description,Average_time_for_Line_Clearance_(_Mins_)_Jan_to_Aug,Sep,Oct,Nov,Average_time_for_Line_closure_(Mins)_Jan_to_Aug,Sep,Oct,Nov,Average_time_for_Line_Re-Verification_(_Mins_)_Jan_to_Aug,Sep,Oct,Nov
QR CODE GENERATION,6:25,6:24,5:06,6:07,5:27,5:48,5:26,5:37,5:27,6:12,4:00,7:00
QR PASTING,6:15,5:51,5:33,6:06,6:39,6:05,4:43,5:13,6:39,6:55,5:34,5:30
GROMMET FIXING,6:11,6:30,5:14,5:43,6:41,5:42,5:20,7:09,6:41,5:00,5:11,5:57
SMILEY ASSEMBLY,6:20,6:13,5:09,6:22,6:27,5:39,6:39,5:43,6:27,5:39,4:37,5:38
Sample filter washing,5:57,6:26,5:10,8:00,4:30,4:43,6:22,5:20,4:30,NA,NA,NA
Sample filter heating,6:05,6:00,6:00,6:22,3:40,6:00,5:12,5:22,3:40,3:00,6:00,5:00
Dump to annealing,8:59,8:33,9:12,11:02,8:15,11:10,10:22,13:44,8:15,6:19,5:52,6:01
Matrix pallet filling to pouch packing,10:28,10:45,8:55,10:17,9:08,10:12,10:38,11:33,9:08,7:03,6:32,6:56
Rework,8:09,5:00,9:00,5:47,9:02,5:30,5:00,5:32,9:02,5:00,3:00,6:00
Packing verification,NA,NA,NA,NA,NA,NA,NA,NA,6:39,5:45,5:19,6:05
LINE-G (Automation line),NA,NA,NA,13:00,NA,NA,NA,12:00,NA,NA,NA,4:30
