Description,Average_time_for_Line_Clearance_(_Mins_)_Jan_to_Aug,Sep,Oct,Nov,Average_time_for_Line_closure_(_Mins_)_Jan_to_Aug,Sep,Oct,Nov,Average_time_for_Line_Re-Verification_(_Mins_)_Jan_to_Aug,Sep,Oct,Nov
CAM Sub Assembly,5:12,3:06,NA,NA,5:30,NA,2:18,NA,NA,NA,NA,NA
Sliding Block Sub Assembly,3:42,2:06,NA,NA,5:11,NA,3:02,NA,NA,NA,NA,NA
POKA-YOKA Plate SUB ASSEMBLY,4:53,3:06,NA,NA,4:22,NA,2:09,NA,NA,NA,NA,NA
Fixed Plate Sub Assembly,6:41,3:08,NA,NA,4:53,NA,2:08,NA,NA,NA,NA,NA
Locking Block Sub Assembly,4:20,3:10,NA,NA,3:42,NA,2:07,NA,NA,NA,NA,NA
Valve Motor -1 Sub Assembly,3:20,3:24,NA,NA,5:39,NA,2:06,NA,NA,NA,NA,NA
Peristaltic pump sub assembly,3:32,2:09,NA,NA,3:46,NA,3:07,NA,NA,NA,NA,NA
filter sub assembly,3:43,2:06,NA,NA,4:00,NA,3:09,NA,NA,NA,NA,NA
mechanism assembly,6:50,3:13,NA,NA,2:09,NA,7:09,NA,3:26,NA,NA,NA
Bottom cover assembly,4:46,4:21,NA,NA,4:03,NA,6:13,NA,NA,NA,NA,NA
Wiring Assembly,6:30,3:09,NA,NA,4:54,NA,5:08,NA,NA,NA,NA,NA
Heater testing,8:31,3:12,NA,NA,3:45,NA,4:07,NA,3:37,NA,NA,NA
Testing,9:46,5:20,NA,NA,5:03,NA,4:09,NA,NA,NA,NA,NA
vacuum nozzle sub assembly,4:02,NA,NA,NA,6:51,NA,NA,NA,NA,NA,NA,NA
